,keyword,text,lat,long,census,comp,category,CensusTract,LILATracts_1And10
3679,subway,"I'm at MTA Subway - 33rd St (6) - @nyctsubway in New York, NY ",40.74621268,-73.98191367,36061007200,0.0,fast_food,36061007200,0
3680,starbucks,"Interested in a job in #NewYork, NY? This could be a great fit. Click the link in our bio to apply: barista - Store# 08130, EAST 34TH &amp; PARK at Starbucks #Retail",40.7465582,-73.9811847,36061007200,0.8519,fast_food,36061007200,0
3681,starbucks,"We're hiring in #Alexandria, VA! Click the link in our bio to apply to this job and more: shift supervisor - Store# 10090, ALEXANDRIA COMMONS at Starbucks #Retail",38.8085982,-77.0834684,51510200802,0.0,fast_food,51510200802,0
3682,panera bread,"Panera Bread is hiring in Alexandria, VA! Click the link in our bio to apply: Overnight Baker #parttime #Baker",38.809123,-77.0862975,51510200802,0.0,fast_food,51510200802,0
3683,starbucks,"If you're looking for work in #Alexandria, VA, check out this #Retail job via the link in our bio: barista - Store# 10090, ALEXANDRIA COMMONS at Starbucks",38.8085982,-77.0834684,51510200802,0.0,fast_food,51510200802,0
3684,starbucks,"We're hiring in #Alexandria, VA! Click the link in our bio to apply to this job and more: shift supervisor - Store# 10090, ALEXANDRIA COMMONS at Starbucks #Retail",38.8085982,-77.0834684,51510200802,0.0,fast_food,51510200802,0
3685,starbucks,"I'm at Starbucks in Houston, TX ",29.97996917,-95.21707315,48201250600,0.4995,fast_food,48201250600,1
3686,starbucks,"I'm at Starbucks in Houston, TX ",29.97996917,-95.21707315,48201250600,0.4995,fast_food,48201250600,1
3687,starbucks,"I'm at Starbucks in Houston, TX ",29.97996917,-95.21707315,48201250600,0.4995,fast_food,48201250600,1
3688,starbucks,"We're hiring in #Bethel, CT! Click the link in our bio to apply to this job and more: shift supervisor - Store# 14543, BETHEL, BIG Y PLAZA at Starbucks #Retail",41.4135724,-73.3780978,09001200301,0.0,fast_food,09001200301,0
3689,starbucks,"Starbucks is hiring in #Gaston, SC! Click the link in our bio to apply: machine operator (packaging), off shift  Sandy Run Roasting Plant  Sandy Run, SC #Manufacturing",33.7956595,-81.00423520000002,45017950100,0.0,fast_food,45017950100,0
3690,starbucks,"Interested in a job in #Gaston, SC? This could be a great fit. Click the link in our bio to apply: acrs operator  3rd shift (6pm -6:30 am), Sandy Run Roasting Plant - Sandy Run, SC at Starbucks #Manufacturing",33.7956595,-81.00423520000002,45017950100,0.8519,fast_food,45017950100,0
3691,starbucks,"If you're looking for work in #Gaston, SC, check out this #Manufacturing job via the link in our bio: acrs operator  3rd shift (6pm -6:30 am), Sandy Run Roasting Plant - Sandy Run, SC at Starbucks",33.7956595,-81.00423520000001,45017950100,0.0,fast_food,45017950100,0
3692,starbucks,"Click the link in our bio to see currently open #Manufacturing jobs like ""maintenance mechanic, night shift, Sandy Run Roasting Plant - Sandy Run, SC"" at Starbucks in #Gaston, SC.",33.7956595,-81.00423520000001,45017950100,0.3612,fast_food,45017950100,0
3693,starbucks,"Starbucks is hiring in #Lafayette, IN! Click the link in our bio to apply: barista - Store# 52319, LAFAYETTE - VETERANS PKWY &amp; CO #Retail",40.36792979999999,-86.8644771,18157001600,0.0,fast_food,18157001600,0
3694,starbucks,"Starbucks is hiring in #Lafayette, IN! Click the link in our bio to apply: barista - Store# 52319, LAFAYETTE - VETERANS PKWY &amp; CO #Retail",40.36792979999999,-86.8644771,18157001600,0.0,fast_food,18157001600,0
3695,starbucks,"See our latest #ClevelandHeights, OH #Retail job opportunity and click the link in our bio to apply: shift supervisor - Store# 02618, MAYFIELD &amp; LEE at Starbucks",41.5161736,-81.56898509999998,39035196000,0.4215,fast_food,39035196000,0
3696,starbucks,"See our latest #ClevelandHeights, OH #Retail job opportunity and click the link in our bio to apply: shift supervisor - Store# 02618, MAYFIELD &amp; LEE at Starbucks",41.5161736,-81.56898509999999,39035196000,0.4215,fast_food,39035196000,0
3697,starbucks,"See our latest #Wilmington, DE #Retail job opportunity and click the link in our bio to apply: barista - Store# 07775, MARSH &amp; SILVERSIDE at Starbucks",39.80174570000001,-75.5047868,10003011000,0.4215,fast_food,10003011000,0
3698,starbucks,"See our latest #Wilmington, DE #Retail job opportunity and click the link in our bio to apply: barista - Store# 07775, MARSH &amp; SILVERSIDE at Starbucks",39.801745700000005,-75.5047868,10003011000,0.4215,fast_food,10003011000,0
3699,starbucks,"Want to land a job like ""shift supervisor - Store# 11408, PALM-PORT CHARLOTTE"" at Starbucks? Applicant tracking systems look for specific keywords. Use the right keywords and get your resume in front of the hiring manager. #Retail #PortCharlotte, FL",27.0089433,-82.14729859999998,12015020302,0.4215,fast_food,12015020302,0
3700,starbucks,"Want to land a job like ""shift supervisor - Store# 11408, PALM-PORT CHARLOTTE"" at Starbucks? Applicant tracking systems look for specific keywords. Use the right keywords and get your resume in front of the hiring manager. #Retail #PortCharlotte, FL",27.008943300000002,-82.14729859999998,12015020302,0.4215,fast_food,12015020302,0
3701,starbucks,"Click the link in our bio to see currently open #Retail jobs like ""shift supervisor - Store# 29771, Wilde Lake Village"" at Starbucks in #Columbia, MD.",39.221095,-76.87530699999998,24027605402,0.3612,fast_food,24027605402,0
3702,panera bread,"Interested in a job in Columbia, MD? This could be a great fit. Click the link in our bio to apply: Manager at Panera Bread #parttime #Restaurant",39.2153109,-76.8612159,24027605402,0.8519,fast_food,24027605402,0
3703,starbucks,"Having breakfast at our neighborhood Starbucks. Only a hundred yards from our apartment (@ Starbucks in Columbia, MD)  ",39.22112965,-76.87521993,24027605402,0.0,fast_food,24027605402,0
3704,starbucks,"Click the link in our bio to see currently open #Retail jobs like ""shift supervisor - Store# 29771, Wilde Lake Village"" at Starbucks in #Columbia, MD.",39.221095,-76.87530699999999,24027605402,0.3612,fast_food,24027605402,0
